Авто;Марка;Модель;Номер;Год;Цвет;Кузов;Двигатель;Мощность;Топливо;Бак;Расход;Категория;Мест;Дверей;Кондиционер;Салон;Крыша;Стеклоподъемники;Подушки;Сторона руля;Круиз;Камера ЗВ;Парктроник;Радио;CD;MP3;USB;AUX;Bluetooth;Дата ТО;Сутки;Залог;Мин возраст;Мин стаж;Страховка;Договор Страх;Кутаиси;Тбилиси;Батуми;ЦРМ;РУ сайт;АНГ сайт;VIN;Партнер;Свидетельство;Коробка;Привод
Kia Sportage JQ680QQ ;Kia;Sportage;JQ680QQ ;2012;Белый;crossover;2;184;Dizel;55;7,1;b;5;4;Климат 2-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;01.09.2026;11;100;21;0;41,5;AUT 0000-55347;https://partner.localrent.com/cars/54682/edit/;https://partner.localrent.com/cars/51266/edit/;https://partner.localrent.com/cars/54717/edit/;https://web.rentprog.ru/cars/37399;https://geodrive.info/geotbilisi/tproduct/981063381521;https://en.geodrive.info/geotbilisi/tproduct/983521555151;KNAPB813BDK424111;;AQA0212363;Автомат;Передний;
Kia Sportage TT948GG ;Kia;Sportage;TT948GG ;2015;Белый;crossover;2;185;Dizel;62;6,3;b;5;4;Климат. 4 зоны;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;28.05.2026;14;100;21;0;65,3;AUT 0000-54025;https://partner.localrent.com/cars/52353/edit/;https://partner.localrent.com/cars/51268/edit/;https://partner.localrent.com/cars/54713/edit/;https://web.rentprog.ru/cars/37401;https://geodrive.info/geotbilisi/tproduct/152731752822;https://en.geodrive.info/geotbilisi/tproduct/995418779702;KNAPR813DGK007810;;AJA1576692;Автомат;Полный;
Mazda 3 MM207LM/;Mazda;3;MM207LM/;2014;Черный;sedan;2;155;Benzin;51;6,9;b;5;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Нет;Нет;Нет;Есть;Есть;Есть;Есть;Есть;Есть;07.07.2026;10;100;21;2;43,29;AUT 0000-58367;https://partner.localrent.com/cars/52147/edit/;https://partner.localrent.com/cars/54680/edit/;https://partner.localrent.com/cars/54711/edit/;https://web.rentprog.ru/cars/37503;https://geodrive.info/geotbilisi/tproduct/814937632111;https://en.geodrive.info/geotbilisi/tproduct/193600709281;3MZBM1U73FM174741;;AJ3584434;Автомат;Передний;
Mini Cooper S Countryman GP919GG;Mini;Cooper S Countryman;GP919GG;2014;Красный;crossover;1,6;184;Benzin;47;6,7;b;5;4;Кондиционер;Кожа;Люк;4;4;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Нет;Есть;Есть;01.04.2025;12;200;21;0;37,5;AUT 0000-51541;https://partner.localrent.com/cars/53312/edit/;https://partner.localrent.com/cars/54668/edit/;https://partner.localrent.com/cars/54696/edit/;https://web.rentprog.ru/cars/39736;https://geodrive.info/geotbilisi/tproduct/792048145751;https://en.geodrive.info/geotbilisi/tproduct/155630135941;WMWZC5C53EWM17861;;AQA0362967;Механика;Полный;
Nissan Pathfinder LL760ZZ;Nissan;Pathfinder;LL760ZZ;2017;Серый;crossover;3,5;284;Benzin;74;10,7;b;7;4;Климат. 4 зоны;Кожа;Люк;4;8;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;02.02.2026;19;100;21;2;68,75;AUT 0000-55809;https://partner.localrent.com/cars/54687/edit/;https://partner.localrent.com/cars/51271/edit/;https://partner.localrent.com/cars/54721/edit/;https://web.rentprog.ru/cars/37409;https://geodrive.info/geotbilisi/tproduct/650807090231;https://en.geodrive.info/geotbilisi/tproduct/605039478931;5N1DR2MMXHC913029;;AQA0230840;Автомат;Передний;
Nissan Quest JJ477LJ;Nissan;Quest;JJ477LJ;2017;Черный;minivan;3,5;260;Benzin;76;9,8;b;7;4;Климат. 4 зоны;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;13.05.2025;18;100;21;0;55;AUT 0000-48973;https://partner.localrent.com/cars/51707/edit/;https://partner.localrent.com/cars/51267/edit/;https://partner.localrent.com/cars/54707/edit/;https://web.rentprog.ru/cars/37402;https://geodrive.info/geotbilisi/tproduct/855109400921;https://en.geodrive.info/geotbilisi/tproduct/689968803301;JN8AE2KP6H9168636;;AJA1502367;Автомат;Передний;
Subaru Forester PQ523PQ;Subaru;Forester;PQ523PQ;2014;Серый;crossover;2,5;171;Benzin;60;8,2;b;5;4;Кондиционер;Ткань;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;01.11.2025;14;100;21;2;37,5;AUT 0000-58310;https://partner.localrent.com/cars/51653/edit/;https://partner.localrent.com/cars/54675/edit/;https://partner.localrent.com/cars/54705/edit/;https://web.rentprog.ru/cars/37472;https://geodrive.info/geotbilisi/tproduct/683872163761;https://en.geodrive.info/geotbilisi/tproduct/366962756071;JF2SJAGC1FH519453;;AJ3540371;Автомат;Полный;
Subaru Forester Limited BZ390ZB;Subaru;Forester Limited;BZ390ZB;2017;Голубой;crossover;2,5;171;Benzin;60;8,3;b;5;4;Климат 2-зонный;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;03.09.2026;14;100;21;2;37,5;AUT 0000-58309;https://partner.localrent.com/cars/51729/edit/;https://partner.localrent.com/cars/54677/edit/;https://partner.localrent.com/cars/54661/edit/;https://web.rentprog.ru/cars/38000;https://geodrive.info/geotbilisi/tproduct/198597390401;https://en.geodrive.info/geotbilisi/tproduct/169894881101;JF2SJARCXJH489780;;AJA0296009;Автомат;Полный;
Toyota Prius GG134HG;Toyota;Prius;GG134HG;2013;Белый;hatchback;1,8;99;Hybrid;45;3,9;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;25.11.2025;9;100;21;2;34,4;AUT 0000-58076;https://partner.localrent.com/cars/54689/edit/;https://partner.localrent.com/cars/51904/edit/;https://partner.localrent.com/cars/54723/edit/;https://web.rentprog.ru/cars/37501;https://geodrive.info/geotbilisi/tproduct/209878400731;https://en.geodrive.info/geotbilisi/tproduct/507535787131;JTDKN3DU8D1644368;;AJA2138549;Автомат;Передний;
Toyota Prius ZR350RZ;Toyota;Prius;ZR350RZ;2013;Белый;hatchback;1,8;99;Hybrid;45;3,9;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;20.06.2026;9;100;21;2;34,4;AUT 0000-57894;https://partner.localrent.com/cars/51440/edit/;https://partner.localrent.com/cars/54670/edit/;https://partner.localrent.com/cars/54698/edit/;https://web.rentprog.ru/cars/37435;https://geodrive.info/geotbilisi/tproduct/988389809441;https://en.geodrive.info/geotbilisi/tproduct/883546249561;JTDKN3DU5D1643548;;AJA2117820;Автомат;Передний;
Volkswagen Jetta HG541HG;Volkswagen;Jetta;HG541HG;2015;Серый;sedan;1,8;170;Benzin;55;7;b;5;4;Кондиционер;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;08.09.2026;11;100;21;2;34,4;AUT 0000-52964;https://partner.localrent.com/cars/54685/edit/;https://partner.localrent.com/cars/49944/edit/;https://partner.localrent.com/cars/54719/edit/;https://web.rentprog.ru/cars/37400;https://geodrive.info/geotbilisi/tproduct/678463243251;https://en.geodrive.info/geotbilisi/tproduct/991490191551;3VWD17AJ1GM226115;;AJA0890654;Автомат;Передний;
Volkswagen Passat MM228LM;Volkswagen;Passat;MM228LM;2015;Серый;sedan;2;190;Dizel;66;7,7;b;5;4;Климат 1-зонный;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;13.02.2026;12;100;21;2;53;AUT 0000-58368;https://partner.localrent.com/cars/51654/edit/;https://partner.localrent.com/cars/54676/edit/;https://partner.localrent.com/cars/54706/edit/;https://web.rentprog.ru/cars/37473;https://geodrive.info/geotbilisi/tproduct/219728902451;https://en.geodrive.info/geotbilisi/tproduct/257679073441;1VWBV7A31FC094230;;AJ3594248;Робот;Передний;
Volkswagen Tiguan BB681BF ;Volkswagen;Tiguan;BB681BF ;2013;Серебряный;crossover;2;170;Benzin;64;9;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Есть;28.05.2026;12;100;21;2;48;AUT 0000-55727;https://partner.localrent.com/cars/54694/edit/;https://partner.localrent.com/cars/51275/edit/;https://partner.localrent.com/cars/54444/edit/;https://web.rentprog.ru/cars/37407;https://geodrive.info/geotbilisi/tproduct/212345899591;https://en.geodrive.info/geotbilisi/tproduct/810107528491;WVGAV3AX1EW519321;;AJA2002996;Автомат;Полный;
Volkswagen Tiguan XX299UU ;Volkswagen;Tiguan;XX299UU ;2018;Белый;crossover;2;187;Benzin;60;10,2;b;7;4;Кондиционер;Ткань;Обычная;4;8;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;10.09.2027;17;100;21;2;68,75;AUT 0000-55810;https://partner.localrent.com/cars/54686/edit/;https://partner.localrent.com/cars/51270/edit/;https://partner.localrent.com/cars/54720/edit/;https://web.rentprog.ru/cars/37405;https://geodrive.info/geotbilisi/tproduct/159839060441;https://en.geodrive.info/geotbilisi/tproduct/981797071901;3VV1B7AX5JM108603;;AJA1629663;Автомат;Передний;
Volkswagen Tiguan UU630UL/;Volkswagen;Tiguan;UU630UL/;2019;Белый;crossover;2;187;Benzin;58;9,8;b;7;4;Климат 2-зонный;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;04.08.2027;18;100;21;2;69,49;AUT 0000-58365;https://partner.localrent.com/cars/51899/edit/;https://partner.localrent.com/cars/54678/edit/;https://partner.localrent.com/cars/54709/edit/;https://web.rentprog.ru/cars/38191;https://geodrive.info/geotbilisi/tproduct/990023306651;https://en.geodrive.info/geotbilisi/tproduct/880473456061;3VV3B7AX2LM082411;;AJA5100180;Автомат;Передний;
Mazda CX-5 GG225WG;Mazda;CX-5;GG225WG;2016;Красный;crossover;2,5;192;Benzin;58;7,3;b;5;4;Кондиционер;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;08.09.2025;14;100;21;0;65,3;AUT 0000-51422;https://partner.localrent.com/cars/55294/edit/;https://partner.localrent.com/cars/55293/edit/;https://partner.localrent.com/cars/55295/edit/;https://web.rentprog.ru/cars/41954;https://geodrive.info/geotbilisi/tproduct/963044828571;https://en.geodrive.info/geotbilisi/tproduct/366934386081;JM3KE2DY5G0916521;Марина Харгелия;AJA1564425;Автомат;Передний;
Mercedes CLA 250 ZZ041BZ;Mercedes;CLA 250;ZZ041BZ;2014;Красный;sedan;2;211;Benzin;50;5,9;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;22.05.2026;15;100;21;2;55;AUT 0000-51322;https://partner.localrent.com/cars/56830/edit/;https://partner.localrent.com/cars/56831/edit/;https://partner.localrent.com/cars/56828/edit/;https://web.rentprog.ru/cars/43112;https://geodrive.info/geotbilisi/tproduct/227115555631;https://en.geodrive.info/geotbilisi/tproduct/931863560531;WDDSJ4EB7FN174527;Алексей Дидонов;AJA3148182;Автомат;Передний;
Volkswagen Beetle WW080UU/;Volkswagen;Beetle;WW080UU/;2013;Серый;cabriolet;2;200;Benzin;55;7,8;b;5;4;Кондиционер;Кожа;Мягкая складная автоматическая;4;6;left_wheel;Есть;Нет;Есть;Есть;Нет;Есть;Есть;Есть;Есть;23.06.2026;17;100;21;2;41,25;AUT 0000-51321;https://partner.localrent.com/cars/57097/edit/;https://partner.localrent.com/cars/57108/edit/;https://partner.localrent.com/cars/57080/edit/;https://web.rentprog.ru/cars/43116;https://geodrive.info/geotbilisi/tproduct/732435779861;https://en.geodrive.info/geotbilisi/tproduct/565947779251;3VW767AT6DM813714;Алексей Дидонов;AQA0454656;Робот;Передний;
Volkswagen Tiguan RR307QQ/;Volkswagen;Tiguan;RR307QQ/;2011;Серый;crossover;2;180;Benzin;64;8,7;b;5;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Есть;Нет;Есть;Есть;Нет;Есть;Есть;Есть;Нет;19.02.2026;12;100;21;2;41,25;AUT 0000-51320;https://partner.localrent.com/cars/57100/edit/;https://partner.localrent.com/cars/57110/edit/;https://partner.localrent.com/cars/57087/edit/;https://web.rentprog.ru/cars/43110;https://geodrive.info/geotbilisi/tproduct/338278062751;https://en.geodrive.info/geotbilisi/tproduct/224764788661;WVGZZZ5NZCW028160;Алексей Дидонов;AJA3136143;Автомат;Полный;
Volkswagen Tiguan LB713BB/;Volkswagen;Tiguan;LB713BB/;2011;Серый;crossover;2;170;Benzin;64;8,7;b;5;4;Кондиционер;Кожа;Люк;4;6;left_wheel;Есть;Нет;Есть;Есть;Есть;Есть;Есть;Есть;Есть;20.01.2026;12;100;21;2;41,25;AUT 0000-51324;https://partner.localrent.com/cars/57106/edit/;https://partner.localrent.com/cars/57107/edit/;https://partner.localrent.com/cars/57093/edit/;https://web.rentprog.ru/cars/42976;https://geodrive.info/geotbilisi/tproduct/955968355911;https://en.geodrive.info/geotbilisi/tproduct/668096093691;WVGBV7AX3CW004331;Алексей Дидонов;BVA0620363;Автомат;Полный;
BMW 328i HH587MH;BMW;328i;HH587MH;2012;Красный;sedan;2;218;Benzin;62;7,5;b;5;4;Кондиционер;Кожа;Люк;4;2;left_wheel;Есть;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;13.02.2026;15;100;21;1;42;AUT 0000-52167;https://partner.localrent.com/cars/59722/edit/;https://partner.localrent.com/cars/60291/edit/;https://partner.localrent.com/cars/60240/edit/;https://web.rentprog.ru/cars/43117;https://geodrive.info/geotbilisi/tproduct/776631241041;https://en.geodrive.info/geotbilisi/tproduct/606838917701;WBA3A5C56CF343182;Алексей Дидонов;AJA3114816;Автомат;Задний;
Volkswagen Tiguan PZ432ZP;Volkswagen;Tiguan;PZ432ZP;2012;Серебряный;crossover;2;170;Benzin;64;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;2;left_wheel;Есть;Нет;Есть;Есть;Есть;Есть;Есть;Есть;Нет;01.11.2026;12;100;21;2;41,25;AUT 0000-51323;https://partner.localrent.com/cars/59673/edit/;https://partner.localrent.com/cars/59153/edit/;https://partner.localrent.com/cars/59467/edit/;https://web.rentprog.ru/cars/43172;https://geodrive.info/geotbilisi/tproduct/573534181551;https://en.geodrive.info/geotbilisi/tproduct/247824257531;WVGZZZ5NZCW583326;Алексей Дидонов;AJA3136810;Автомат;Полный;
Mini Cooper RL630RL;Mini;Cooper;RL630RL;2016;Синий;cabriolet;1,6;139;Benzin;45;6,5;b;4;2;Климат 2-зонный;Кожа-спорт;Мягкая складная автоматическая;2;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;24.05.2026;19;100;21;2;55;AUT 0000-52967;https://partner.localrent.com/cars/62481/edit/;https://partner.localrent.com/cars/61860/edit/;https://partner.localrent.com/cars/62676/edit/;https://web.rentprog.ru/cars/42291;https://geodrive.info/geotbilisi/tproduct/239292553532;https://en.geodrive.info/geotbilisi/tproduct/997427904552;WMWWG5C58G3C19615;;AJA3058015;Автомат;Передний;
Kia Soul DC348DC;Kia;Soul;DC348DC;2015;Черный;hatchback;1,6;132;Benzin;54;7;b;5;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;26.08.2026;11;100;21;1;44,7;AUT 0000-51325;https://partner.localrent.com/cars/59098/edit/;https://partner.localrent.com/cars/59011/edit/;https://partner.localrent.com/cars/59101/edit/;https://web.rentprog.ru/cars/43958;https://geodrive.info/geotbilisi/tproduct/938258955201;https://en.geodrive.info/geotbilisi/tproduct/620581657541;KNDJN2A2XF7216486;;AJA3310703;Автомат;Передний;
Mazda 6 NN626CC;Mazda;6;NN626CC;2013;Серебряный;sedan;2,5;190;Benzin;62;7,9;b;5;4;Климат 1-зонный;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;17.09.2026;12;100;21;1;41,25;AUT 0000-51326;https://partner.localrent.com/cars/59099/edit/;https://partner.localrent.com/cars/59012/edit/;https://partner.localrent.com/cars/59100/edit/;https://web.rentprog.ru/cars/43960;https://geodrive.info/geotbilisi/tproduct/877060190621;https://en.geodrive.info/geotbilisi/tproduct/267637014361;JM1GJ1U66E1132729;Михаил Повх;AJA3317728;Автомат;Передний;
Kia Sportage RR350FR;Kia;Sportage;RR350FR;2017;Серый;crossover;2,4;184;Benzin;60;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;26.10.2027;14;100;21;2;61,9;AUT 0000-51327;https://partner.localrent.com/cars/59381/edit/;https://partner.localrent.com/cars/59142/edit/;https://partner.localrent.com/cars/59466/edit/;https://web.rentprog.ru/cars/44168;https://geodrive.info/geotbilisi/tproduct/219256327891;https://en.geodrive.info/geotbilisi/tproduct/577498658171;KNDPMCAC5J7380135;Никишова Мария;AJA3355117;Автомат;Полный;
Kia Carnival YQ691QY;Kia;Carnival;YQ691QY;2015;Черный;minivan;2,2;202;Dizel;74;6;b;9;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;23.06.2026;20;100;22;1;68,75;AUT 0000-51329;https://partner.localrent.com/cars/59305/edit/;https://partner.localrent.com/cars/59178/edit/;https://partner.localrent.com/cars/59470/edit/;https://web.rentprog.ru/cars/44116;https://geodrive.info/geotbilisi/tproduct/391472501121;https://en.geodrive.info/geotbilisi/tproduct/944461623381;KNAMB81ABGS193700;Никишова Мария;AJA3344411;Автомат;Передний;
Kia Sedona VW495VV;Kia;Sedona;VW495VV;2014;Коричневый;minivan;3,3;276;Benzin;80;11;b;8;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;13.02.2026;18;100;21;1;59;AUT 0000-52164;https://partner.localrent.com/cars/59486/edit/;https://partner.localrent.com/cars/59429/edit/;https://partner.localrent.com/cars/59477/edit/;https://web.rentprog.ru/cars/44570;https://geodrive.info/geotbilisi/tproduct/763184212731;https://en.geodrive.info/geotbilisi/tproduct/143130561891;KNDMB5C12F6054130;Павел Чупахов;AJA3380344;Автомат;Передний;
